Rank,Name,Park,Location,Supplier,Year,Awarded
27,Prowler,Worlds of Fun,"Kansas City, Mo.",Great Coasters Int.,2009,2017
28,Boss,Six Flags St. Louis,"Eureka, Mo.",Custom Coasters,2000,2017
29,Wildfire,Kolmården,"Norrköping, Sweden",Rocky Mountain,2016,2017
30,Cú Chulainn,Tayto Park,"Ashbourne, Ireland",Gravity Group,2015,2017
31,Giant Dipper,Santa Cruz Beach Boardwalk,"Santa Cruz, Calif.",Prior & Church/Looff,1924,2017
32,Comet,The Great Escape,"Lake George, N.Y.",PTC/Schmeck,1994,2017
33,Switchback,ZDT’s,"Seguin, Texas",Gravity Group,2015,2017
34,Colossos,Heide Park,"Soltau, Germany",Intamin,2001,2017
35,Twister,Knoebels Amusement Resort,"Elysburg, Pa.",Fetterman/Knoebels,1999,2017
36,Wild Mouse,Blackpool Pleasure Beach,"Blackpool, England","Wright, Blackpool",1958,2017
37,Blue Streak,Conneaut Lake,"Conneaut Lake, Pa.",Vettel,1964,2017
38,Hades 360,Mt. Olympus Theme Park,"Wisconsin Dells, Wis.",Gravity Group,1995,2017
39,Playland Wooden Coaster,Playland,"Vancouver, B.C., Canada",Phare,1958,2017
40,American Thunder,Six Flags St. Louis,"Eureka, Mo.",Great Coasters Int.,2009,2017
41,El Toro,Freitzeitpark Plohn,"Legendfeld, Germany",Great Coasters Int.,2006,2017
42,Blue Streak,Cedar Point,"Sandusky, Ohio",PTC/Hoover,1964,2017
43,Screamin’ Eagle,Six Flags St. Louis,"Eureka, Mo.",PTC/Allen,1976,2017
44,Flying Turns,Knoebels Amusement Resort,"Elysburg, Pa.",Knoebels,2013,2017
45,Wooden Warrior,Quassy Amusement Park,"Middlebury, Conn.",Gravity Group,2011,2017
46,Grizzly (KD),Kings Dominion,"Doswell, Va.",,1982,2017
47,Tremors,Silverwood,"Athol, Idaho",Custom Coasters,1999,2017
48,Grand National,Blackpool Pleasure Beach,"Blackpool, England",Paige,1935,2017
49,Kentucky Rumbler,Beech Bend,"Bowling Green, Ky.",Great Coasters Int.,2006,2017
50,Twister,Gröna Lund,"Stockholm, Sweden",Gravity Group,2011,2017
1,Boulder Dash,Lake Compounce,"Bristol, Conn.",2000,Custom Coasters,2016
2,Phoenix,Knoebels Amusement Resort,"Elysburg, Pa.",1985,Dinn-PTC/Schmeck,2016
3,El Toro,Six Flags Great Adventure,"Jackson, N.J.",2006,Intamin,2016
4,The Voyage,Holiday World,"Santa Claus, Ind.",2006,Gravity Group,2016
5,Ravine Flyer II,Waldameer,"Erie, Pa.",2008,Gravity Group,2016
6,The Beast,Kings Island,"Mason, Ohio",1979,KECO,2016
7,Thunderhead,Dollywood,"Pigeon Forge, Tenn.",2004,Great Coasters Int.,2016
8,Outlaw Run,Silver Dollar City,"Branson, Mo.",2013,Rocky Mountain,2016
9,Gold Striker,California’s Great America,"Santa Clara, Calif.",2013,Great Coasters Int.,2016
10,Lightning Racer,Hersheypark,"Hershey, Pa.",2000,Great Coasters Int.,2016
11,Lightning Rod,Dollywood,"Pigeon Forge, Tenn.",2016,Rocky Mountain,2016
12,Balder,Liseberg,"Gothenburg, Sweden",2003,Intamin,2016
13,Goliath,Six Flags Great America,"Gurnee, Ill.",2014,Rocky Mountain,2016
14,Prowler,Worlds of Fun,"Kansas City, Mo.",2009,Great Coasters Int.,2016
15,The Raven,Holiday World,"Santa Claus, Ind.",1995,Custom Coasters,2016
16,The Legend,Holiday World,"Santa Claus, Ind.",2000,Custom Coasters,2016
