Rank,Name,Park,Location,Supplier,Year,Awarded,Type,Design,Status,Opened,City,Region,Country,Make,Length (ft),Height (ft),Speed (mph),Inversions,Elements,Drop (ft),Duration,G-Force,Vertical Angle (°),Uphill Length (ft),Downhill Length (ft),Δ Elevation (ft),Airtime Points,Crossings,Bank Angle (°),Drop,Designer
12,Iron Rattler,Six Flags Fiesta Texas,"San Antonio, Texas",Rocky Mountain,2013,2021,Steel,Sit Down,Operating,5/25/2013,San Antonio,Texas,United States,Rocky Mountain Construction,"3,266.00",179.00,70.00,1.00,"['Chain Lift Hill', 'Over-Banked Curve', 'Over-Banked Curve', 'Zero-G Roll', 'Over-Banked Curve', 'Over-Banked Curve', 'Tunnel']",171.00,,,81,,,,,,,,
13,Intimidator 305,Kings Dominion,"Doswell, Virginia",Intamin,2010,2021,Steel,Sit Down,Operating,4/2/2010,Doswell,Virginia,United States,Intamin Amusement Rides,"5,100.00",305.00,90.00,0.00,['Cable Lift Hill'],300.00,3:00,,85,,,,,,,,
14,Nitro,Six Flags Great Adventure,"Jackson, New Jersey",B&M,2001,2021,Steel,Sit Down,Operating,4/7/2001,Jackson,New Jersey,United States,Bolliger & Mabillard,"5,394.00",230.00,80.00,0.00,"['Chain Lift Hill', 'Block Brake']",215.00,2:20,,,,,,,,,,
16,Twisted Colossus,Six Flags Magic Mountain,"Valencia, California",Rocky Mountain,2015,2021,Steel,Sit Down,Operating,5/23/2015,Valencia,California,United States,Rocky Mountain Construction,"4,990.00",121.00,57.00,2.00,"['Chain Lift Hill', 'High Five', 'Zero-G Roll', 'Chain Lift Hill', 'High Five', 'Top Gun Stall']",128.00,3:40,,80,,,,,,,,
17,Mako,SeaWorld Orlando,"Orlando, Florida",B&M,2016,2021,Steel,Sit Down,Operating,6/10/2016,Orlando,Florida,United States,Bolliger & Mabillard,"4,760.00",200.00,73.00,0.00,"['Chain Lift Hill', 'Block Brake']",200.00,,,,,,,,,,,
19,Diamondback,Kings Island,"Mason, Ohio",B&M,2009,2021,Steel,Sit Down,Operating,4/18/2009,Mason,Ohio,United States,Bolliger & Mabillard,"5,282.00",230.00,80.00,0.00,"['Chain Lift Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Splash Effect']",215.00,3:00,,74,,,,,,,,
21,Alpengeist,Busch Gardens Williamsburg,"Williamsburg, Virginia",B&M,1997,2021,Steel,Inverted,Operating,3/22/1997,Williamsburg,Virginia,United States,Bolliger & Mabillard,"3,828.00",195.00,67.00,6.00,"['Chain Lift Hill', 'Immelmann', 'Loop', 'Tunnel', 'Cobra Roll', 'Block Brake', 'Zero-G Roll', 'Corkscrew']",170.00,3:10,3.7,,,,,,,,,
22,Montu,Busch Gardens Tampa,"Tampa, Florida",B&M,1996,2021,Steel,Inverted,Operating,5/16/1996,Tampa,Florida,United States,Bolliger & Mabillard,"3,983.00",150.00,60.00,7.00,"['Chain Lift Hill', 'Loop', 'Immelmann', 'Zero-G Roll', 'Batwing', 'Block Brake', 'Loop', 'Corkscrew']",128.00,3:00,3.8,50,,,,,,,,
23,Intimidator,Carowinds,"Charlotte, North Carolina",B&M,2010,2021,Steel,Sit Down,Operating,3/27/2010,Charlotte,North Carolina,United States,Bolliger & Mabillard,"5,316.00",232.00,75.00,0.00,"['Chain Lift Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill']",211.00,3:33,,74,,,,,,,,
23,Steel Curtain,Kennywood,"West Mifflin, Pennsylvania",S&S,2019,2021,Steel,Sit Down,Operating,7/13/2019,West Mifflin,Pennsylvania,United States,S&S Worldwide,"4,000.00",220.00,75.00,8.00,"['Chain Lift Hill', 'Drachen Fire Dive Drop', 'Banana Roll', 'Sea Serpent', 'Dive Loop', 'Zero-G Stall', 'Corkscrew', 'Cutback']",,2:00,,,,,,,,,,
